edge_id,layer,u,v,key,length_m,mode,speed_mps,travel_time_s,edge_type,properties
metro_0,1,metro_116,metro_126,0,2821.6294585064093,metro,16.67,169.26391472743904,metro_segment,"{""line"": ""Pink"", ""frequency_min"": 6, ""from_station"": ""Vinobapuri"", ""to_station"": ""South Extension"", ""real_data"": true}"
metro_1,1,metro_126,metro_116,0,2821.6294585064093,metro,16.67,169.26391472743904,metro_segment,"{""line"": ""Pink"", ""frequency_min"": 6, ""from_station"": ""Vinobapuri"", ""to_station"": ""South Extension"", ""real_data"": true}"
metro_2,1,metro_126,metro_123,0,3198.587718532843,metro,16.67,191.8768877344237,metro_segment,"{""line"": ""Pink"", ""frequency_min"": 6, ""from_station"": ""South Extension"", ""to_station"": ""Bhikaji Cama Place"", ""real_data"": true}"
metro_3,1,metro_123,metro_126,0,3198.587718532843,metro,16.67,191.8768877344237,metro_segment,"{""line"": ""Pink"", ""frequency_min"": 6, ""from_station"": ""South Extension"", ""to_station"": ""Bhikaji Cama Place"", ""real_data"": true}"
metro_4,1,metro_120,metro_58,0,1613.6276928923273,metro,16.67,96.798301913157,metro_segment,"{""line"": ""Pink"", ""frequency_min"": 6, ""from_station"": ""Ashram"", ""to_station"": ""Lajpat Nagar"", ""real_data"": true}"
metro_5,1,metro_58,metro_120,0,1613.6276928923273,metro,16.67,96.798301913157,metro_segment,"{""line"": ""Pink"", ""frequency_min"": 6, ""from_station"": ""Ashram"", ""to_station"": ""Lajpat Nagar"", ""real_data"": true}"
metro_6,1,metro_58,metro_61,0,4664.823993514231,metro,16.67,279.8334729162706,metro_segment,"{""line"": ""Pink"", ""frequency_min"": 6, ""from_station"": ""Lajpat Nagar"", ""to_station"": ""Sarojini Nagar"", ""real_data"": true}"
metro_7,1,metro_61,metro_58,0,4664.823993514231,metro,16.67,279.8334729162706,metro_segment,"{""line"": ""Pink"", ""frequency_min"": 6, ""from_station"": ""Lajpat Nagar"", ""to_station"": ""Sarojini Nagar"", ""real_data"": true}"
metro_8,1,metro_61,metro_233,0,2776.657872253757,metro,16.67,166.56615910340471,metro_segment,"{""line"": ""Pink"", ""frequency_min"": 6, ""from_station"": ""Sarojini Nagar"", ""to_station"": ""Durgabai Deshmukh South Campus"", ""real_data"": true}"
metro_9,1,metro_233,metro_61,0,2776.657872253757,metro,16.67,166.56615910340471,metro_segment,"{""line"": ""Pink"", ""frequency_min"": 6, ""from_station"": ""Sarojini Nagar"", ""to_station"": ""Durgabai Deshmukh South Campus"", ""real_data"": true}"
metro_10,1,metro_91,metro_1,0,2025.1147385132758,metro,16.67,121.48258779323788,metro_segment,"{""line"": ""Pink"", ""frequency_min"": 6, ""from_station"": ""IP Extension"", ""to_station"": ""Anand Vihar"", ""real_data"": true}"
metro_11,1,metro_1,metro_91,0,2025.1147385132758,metro,16.67,121.48258779323788,metro_segment,"{""line"": ""Pink"", ""frequency_min"": 6, ""from_station"": ""IP Extension"", ""to_station"": ""Anand Vihar"", ""real_data"": true}"
metro_12,1,metro_1,metro_92,0,1873.8446485468671,metro,16.67,112.40819727335735,metro_segment,"{""line"": ""Pink"", ""frequency_min"": 6, ""from_station"": ""Anand Vihar"", ""to_station"": ""Karkarduma Court"", ""real_data"": true}"
metro_13,1,metro_92,metro_1,0,1873.8446485468671,metro,16.67,112.40819727335735,metro_segment,"{""line"": ""Pink"", ""frequency_min"": 6, ""from_station"": ""Anand Vihar"", ""to_station"": ""Karkarduma Court"", ""real_data"": true}"
metro_14,1,metro_92,metro_113,0,724.7539373566095,metro,16.67,43.476540933209925,metro_segment,"{""line"": ""Pink"", ""frequency_min"": 6, ""from_station"": ""Karkarduma Court"", ""to_station"": ""Krishna Nagar"", ""real_data"": true}"
metro_15,1,metro_113,metro_92,0,724.7539373566095,metro,16.67,43.476540933209925,metro_segment,"{""line"": ""Pink"", ""frequency_min"": 6, ""from_station"": ""Karkarduma Court"", ""to_station"": ""Krishna Nagar"", ""real_data"": true}"
metro_16,1,metro_113,metro_112,0,920.6340983332345,metro,16.67,55.22700049989409,metro_segment,"{""line"": ""Pink"", ""frequency_min"": 6, ""from_station"": ""Krishna Nagar"", ""to_station"": ""East Azad Nagar"", ""real_data"": true}"
metro_17,1,metro_112,metro_113,0,920.6340983332345,metro,16.67,55.22700049989409,metro_segment,"{""line"": ""Pink"", ""frequency_min"": 6, ""from_station"": ""Krishna Nagar"", ""to_station"": ""East Azad Nagar"", ""real_data"": true}"
metro_18,1,metro_139,metro_138,0,2371.269392447497,metro,16.67,142.247714004049,metro_segment,"{""line"": ""Pink"", ""frequency_min"": 6, ""from_station"": ""Shakurpur"", ""to_station"": ""Shalimar Bagh"", ""real_data"": true}"
metro_19,1,metro_138,metro_139,0,2371.269392447497,metro,16.67,142.247714004049,metro_segment,"{""line"": ""Pink"", ""frequency_min"": 6, ""from_station"": ""Shakurpur"", ""to_station"": ""Shalimar Bagh"", ""real_data"": true}"
metro_20,1,metro_108,metro_107,0,2127.2334857400974,metro,16.67,127.60848744691644,metro_segment,"{""line"": ""Pink"", ""frequency_min"": 6, ""from_station"": ""Gokulpuri"", ""to_station"": ""Shiv Vihar"", ""real_data"": true}"
metro_21,1,metro_107,metro_108,0,2127.2334857400974,metro,16.67,127.60848744691644,metro_segment,"{""line"": ""Pink"", ""frequency_min"": 6, ""from_station"": ""Gokulpuri"", ""to_station"": ""Shiv Vihar"", ""real_data"": true}"
metro_22,1,metro_5,metro_4,0,831.7998681979,metro,16.67,49.898012489376114,metro_segment,"{""line"": ""Red"", ""frequency_min"": 5, ""from_station"": ""Pul Bangash"", ""to_station"": ""Pratap Nagar"", ""real_data"": true}"
metro_23,1,metro_4,metro_5,0,831.7998681979,metro,16.67,49.898012489376114,metro_segment,"{""line"": ""Red"", ""frequency_min"": 5, ""from_station"": ""Pul Bangash"", ""to_station"": ""Pratap Nagar"", ""real_data"": true}"
metro_24,1,metro_4,metro_19,0,1730.8467464554944,metro,16.67,103.83003877957374,metro_segment,"{""line"": ""Red"", ""frequency_min"": 5, ""from_station"": ""Pratap Nagar"", ""to_station"": ""Tis Hazari"", ""real_data"": true}"
metro_25,1,metro_19,metro_4,0,1730.8467464554944,metro,16.67,103.83003877957374,metro_segment,"{""line"": ""Red"", ""frequency_min"": 5, ""from_station"": ""Pratap Nagar"", ""to_station"": ""Tis Hazari"", ""real_data"": true}"
metro_26,1,metro_19,metro_28,0,3408.011330578079,metro,16.67,204.43979187630947,metro_segment,"{""line"": ""Red"", ""frequency_min"": 5, ""from_station"": ""Tis Hazari"", ""to_station"": ""Shastri Nagar"", ""real_data"": true}"
metro_27,1,metro_28,metro_19,0,3408.011330578079,metro,16.67,204.43979187630947,metro_segment,"{""line"": ""Red"", ""frequency_min"": 5, ""from_station"": ""Tis Hazari"", ""to_station"": ""Shastri Nagar"", ""real_data"": true}"
metro_28,1,metro_28,metro_30,0,2157.3504532616166,metro,16.67,129.4151441668636,metro_segment,"{""line"": ""Red"", ""frequency_min"": 5, ""from_station"": ""Shastri Nagar"", ""to_station"": ""Kanhaiya Nagar"", ""real_data"": true}"
metro_29,1,metro_30,metro_28,0,2157.3504532616166,metro,16.67,129.4151441668636,metro_segment,"{""line"": ""Red"", ""frequency_min"": 5, ""from_station"": ""Shastri Nagar"", ""to_station"": ""Kanhaiya Nagar"", ""real_data"": true}"
metro_30,1,metro_30,metro_31,0,785.0480178618113,metro,16.67,47.093462379232825,metro_segment,"{""line"": ""Red"", ""frequency_min"": 5, ""from_station"": ""Kanhaiya Nagar"", ""to_station"": ""Keshav Puram"", ""real_data"": true}"
metro_31,1,metro_31,metro_30,0,785.0480178618113,metro,16.67,47.093462379232825,metro_segment,"{""line"": ""Red"", ""frequency_min"": 5, ""from_station"": ""Kanhaiya Nagar"", ""to_station"": ""Keshav Puram"", ""real_data"": true}"
metro_32,1,metro_31,metro_7,0,2297.9879146635985,metro,16.67,137.8517045389081,metro_segment,"{""line"": ""Red"", ""frequency_min"": 5, ""from_station"": ""Keshav Puram"", ""to_station"": ""Kohat Enclave"", ""real_data"": true}"
metro_33,1,metro_7,metro_31,0,2297.9879146635985,metro,16.67,137.8517045389081,metro_segment,"{""line"": ""Red"", ""frequency_min"": 5, ""from_station"": ""Keshav Puram"", ""to_station"": ""Kohat Enclave"", ""real_data"": true}"
metro_34,1,metro_7,metro_33,0,995.6863137026219,metro,16.67,59.72923297556219,metro_segment,"{""line"": ""Red"", ""frequency_min"": 5, ""from_station"": ""Kohat Enclave"", ""to_station"": ""Pitam Pura"", ""real_data"": true}"
metro_35,1,metro_33,metro_7,0,995.6863137026219,metro,16.67,59.72923297556219,metro_segment,"{""line"": ""Red"", ""frequency_min"": 5, ""from_station"": ""Kohat Enclave"", ""to_station"": ""Pitam Pura"", ""real_data"": true}"
metro_36,1,metro_33,metro_34,0,775.5827074052269,metro,16.67,46.52565731285104,metro_segment,"{""line"": ""Red"", ""frequency_min"": 5, ""from_station"": ""Pitam Pura"", ""to_station"": ""Rohini East"", ""real_data"": true}"
metro_37,1,metro_34,metro_33,0,775.5827074052269,metro,16.67,46.52565731285104,metro_segment,"{""line"": ""Red"", ""frequency_min"": 5, ""from_station"": ""Pitam Pura"", ""to_station"": ""Rohini East"", ""real_data"": true}"
metro_38,1,metro_34,metro_66,0,1320.7597402540944,metro,16.67,79.22973846755214,metro_segment,"{""line"": ""Red"", ""frequency_min"": 5, ""from_station"": ""Rohini East"", ""to_station"": ""Rohini West"", ""real_data"": true}"
metro_39,1,metro_66,metro_34,0,1320.7597402540944,metro,16.67,79.22973846755214,metro_segment,"{""line"": ""Red"", ""frequency_min"": 5, ""from_station"": ""Rohini East"", ""to_station"": ""Rohini West"", ""real_data"": true}"
metro_40,1,metro_66,metro_3,0,1031.0541539892802,metro,16.67,61.85087906354409,metro_segment,"{""line"": ""Red"", ""frequency_min"": 5, ""from_station"": ""Rohini West"", ""to_station"": ""Rithala"", ""real_data"": true}"
metro_41,1,metro_3,metro_66,0,1031.0541539892802,metro,16.67,61.85087906354409,metro_segment,"{""line"": ""Red"", ""frequency_min"": 5, ""from_station"": ""Rohini West"", ""to_station"": ""Rithala"", ""real_data"": true}"
metro_42,1,metro_55,metro_236,0,1810.3659401376938,metro,16.67,108.60023636098941,metro_segment,"{""line"": ""Violet"", ""frequency_min"": 5, ""from_station"": ""Tughlakabad"", ""to_station"": ""Mohan Estate"", ""real_data"": true}"
metro_43,1,metro_236,metro_55,0,1810.3659401376938,metro,16.67,108.60023636098941,metro_segment,"{""line"": ""Violet"", ""frequency_min"": 5, ""from_station"": ""Tughlakabad"", ""to_station"": ""Mohan Estate"", ""real_data"": true}"
metro_44,1,metro_236,metro_220,0,4060.46799040068,metro,16.67,243.5793635513305,metro_segment,"{""line"": ""Violet"", ""frequency_min"": 5, ""from_station"": ""Mohan Estate"", ""to_station"": ""Govind Puri"", ""real_data"": true}"
metro_45,1,metro_220,metro_236,0,4060.46799040068,metro,16.67,243.5793635513305,metro_segment,"{""line"": ""Violet"", ""frequency_min"": 5, ""from_station"": ""Mohan Estate"", ""to_station"": ""Govind Puri"", ""real_data"": true}"
metro_46,1,metro_220,metro_206,0,1443.0420681646913,metro,16.67,86.56521104767194,metro_segment,"{""line"": ""Violet"", ""frequency_min"": 5, ""from_station"": ""Govind Puri"", ""to_station"": ""Nehru Place"", ""real_data"": true}"
metro_47,1,metro_206,metro_220,0,1443.0420681646913,metro,16.67,86.56521104767194,metro_segment,"{""line"": ""Violet"", ""frequency_min"": 5, ""from_station"": ""Govind Puri"", ""to_station"": ""Nehru Place"", ""real_data"": true}"
metro_48,1,metro_206,metro_207,0,1049.1795563038281,metro,16.67,62.93818574108146,metro_segment,"{""line"": ""Violet"", ""frequency_min"": 5, ""from_station"": ""Nehru Place"", ""to_station"": ""Kailash Colony"", ""real_data"": true}"
metro_49,1,metro_207,metro_206,0,1049.1795563038281,metro,16.67,62.93818574108146,metro_segment,"{""line"": ""Violet"", ""frequency_min"": 5, ""from_station"": ""Nehru Place"", ""to_station"": ""Kailash Colony"", ""real_data"": true}"
metro_50,1,metro_207,metro_37,0,2356.276167200529,metro,16.67,141.34830037195732,metro_segment,"{""line"": ""Violet"", ""frequency_min"": 5, ""from_station"": ""Kailash Colony"", ""to_station"": ""Okhla"", ""real_data"": true}"
metro_51,1,metro_37,metro_207,0,2356.276167200529,metro,16.67,141.34830037195732,metro_segment,"{""line"": ""Violet"", ""frequency_min"": 5, ""from_station"": ""Kailash Colony"", ""to_station"": ""Okhla"", ""real_data"": true}"
metro_52,1,metro_37,metro_215,0,3112.0948515324344,metro,16.67,186.68835342126178,metro_segment,"{""line"": ""Violet"", ""frequency_min"": 5, ""from_station"": ""Okhla"", ""to_station"": ""Moolchand"", ""real_data"": true}"
metro_53,1,metro_215,metro_37,0,3112.0948515324344,metro,16.67,186.68835342126178,metro_segment,"{""line"": ""Violet"", ""frequency_min"": 5, ""from_station"": ""Okhla"", ""to_station"": ""Moolchand"", ""real_data"": true}"
metro_54,1,metro_215,metro_216,0,2130.1210036313823,metro,16.67,127.7817038771075,metro_segment,"{""line"": ""Violet"", ""frequency_min"": 5, ""from_station"": ""Moolchand"", ""to_station"": ""Jangpura"", ""real_data"": true}"
metro_55,1,metro_216,metro_215,0,2130.1210036313823,metro,16.67,127.7817038771075,metro_segment,"{""line"": ""Violet"", ""frequency_min"": 5, ""from_station"": ""Moolchand"", ""to_station"": ""Jangpura"", ""real_data"": true}"
metro_56,1,metro_216,metro_217,0,790.9286869876122,metro,16.67,47.44623197286216,metro_segment,"{""line"": ""Violet"", ""frequency_min"": 5, ""from_station"": ""Jangpura"", ""to_station"": ""Jawaharlal Nehru Stadium"", ""real_data"": true}"
metro_57,1,metro_217,metro_216,0,790.9286869876122,metro,16.67,47.44623197286216,metro_segment,"{""line"": ""Violet"", ""frequency_min"": 5, ""from_station"": ""Jangpura"", ""to_station"": ""Jawaharlal Nehru Stadium"", ""real_data"": true}"
metro_58,1,metro_217,metro_209,0,1622.775206777271,metro,16.67,97.34704299803664,metro_segment,"{""line"": ""Violet"", ""frequency_min"": 5, ""from_station"": ""Jawaharlal Nehru Stadium"", ""to_station"": ""Khan Market"", ""real_data"": true}"
metro_59,1,metro_209,metro_217,0,1622.775206777271,metro,16.67,97.34704299803664,metro_segment,"{""line"": ""Violet"", ""frequency_min"": 5, ""from_station"": ""Jawaharlal Nehru Stadium"", ""to_station"": ""Khan Market"", ""real_data"": true}"
metro_60,1,metro_209,metro_100,0,2236.7222699325757,metro,16.67,134.17650089577538,metro_segment,"{""line"": ""Violet"", ""frequency_min"": 5, ""from_station"": ""Khan Market"", ""to_station"": ""Central Secretariat"", ""real_data"": true}"
metro_61,1,metro_100,metro_209,0,2236.7222699325757,metro,16.67,134.17650089577538,metro_segment,"{""line"": ""Violet"", ""frequency_min"": 5, ""from_station"": ""Khan Market"", ""to_station"": ""Central Secretariat"", ""real_data"": true}"
metro_62,1,metro_100,metro_218,0,1135.270262991635,metro,16.67,68.10259526044601,metro_segment,"{""line"": ""Violet"", ""frequency_min"": 5, ""from_station"": ""Central Secretariat"", ""to_station"": ""Janpath"", ""real_data"": true}"
metro_63,1,metro_218,metro_100,0,1135.270262991635,metro,16.67,68.10259526044601,metro_segment,"{""line"": ""Violet"", ""frequency_min"": 5, ""from_station"": ""Central Secretariat"", ""to_station"": ""Janpath"", ""real_data"": true}"
metro_64,1,metro_218,metro_168,0,1468.332668279803,metro,16.67,88.08234362806256,metro_segment,"{""line"": ""Violet"", ""frequency_min"": 5, ""from_station"": ""Janpath"", ""to_station"": ""Mandi House"", ""real_data"": true}"
metro_65,1,metro_168,metro_218,0,1468.332668279803,metro,16.67,88.08234362806256,metro_segment,"{""line"": ""Violet"", ""frequency_min"": 5, ""from_station"": ""Janpath"", ""to_station"": ""Mandi House"", ""real_data"": true}"
metro_66,1,metro_168,metro_219,0,727.2094420377439,metro,16.67,43.623841753913844,metro_segment,"{""line"": ""Violet"", ""frequency_min"": 5, ""from_station"": ""Mandi House"", ""to_station"": ""ITO"", ""real_data"": true}"
metro_67,1,metro_219,metro_168,0,727.2094420377439,metro,16.67,43.623841753913844,metro_segment,"{""line"": ""Violet"", ""frequency_min"": 5, ""from_station"": ""Mandi House"", ""to_station"": ""ITO"", ""real_data"": true}"
metro_68,1,metro_219,metro_228,0,2448.353304864476,metro,16.67,146.8718239270831,metro_segment,"{""line"": ""Violet"", ""frequency_min"": 5, ""from_station"": ""ITO"", ""to_station"": ""Jama Masjid"", ""real_data"": true}"
metro_69,1,metro_228,metro_219,0,2448.353304864476,metro,16.67,146.8718239270831,metro_segment,"{""line"": ""Violet"", ""frequency_min"": 5, ""from_station"": ""ITO"", ""to_station"": ""Jama Masjid"", ""real_data"": true}"
metro_70,1,metro_228,metro_208,0,836.8235278722312,metro,16.67,50.19937179797427,metro_segment,"{""line"": ""Violet"", ""frequency_min"": 5, ""from_station"": ""Jama Masjid"", ""to_station"": ""Lal Quila"", ""real_data"": true}"
metro_71,1,metro_208,metro_228,0,836.8235278722312,metro,16.67,50.19937179797427,metro_segment,"{""line"": ""Violet"", ""frequency_min"": 5, ""from_station"": ""Jama Masjid"", ""to_station"": ""Lal Quila"", ""real_data"": true}"
metro_72,1,metro_208,metro_6,0,1379.0319667275176,metro,16.67,82.72537292906523,metro_segment,"{""line"": ""Violet"", ""frequency_min"": 5, ""from_station"": ""Lal Quila"", ""to_station"": ""Kashmere Gate"", ""real_data"": true}"
metro_73,1,metro_6,metro_208,0,1379.0319667275176,metro,16.67,82.72537292906523,metro_segment,"{""line"": ""Violet"", ""frequency_min"": 5, ""from_station"": ""Lal Quila"", ""to_station"": ""Kashmere Gate"", ""real_data"": true}"
